contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
AAPL251114P00260000,2025-11-07 20:59:57+00:00,260.0,0.86,0.86,0.9,-0.21000004,-19.626171,12544.0,4414,0.2727123510742187,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00262500,2025-11-07 20:59:47+00:00,262.5,1.35,1.27,1.35,-0.14999998,-9.999999,6255.0,3999,0.26282475463867194,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00265000,2025-11-07 20:59:40+00:00,265.0,1.99,1.96,2.02,-0.1500001,-7.00935,15070.0,3584,0.2553785400390626,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00267500,2025-11-07 20:59:58+00:00,267.5,2.87,2.87,3.0,-0.03000021,-1.0344899,9887.0,2835,0.25269302001953126,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00270000,2025-11-07 20:59:49+00:00,270.0,4.15,4.05,4.3,0.09000015,2.2167525,10897.0,4089,0.2528150891113281,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00272500,2025-11-07 20:52:48+00:00,272.5,5.65,5.6,5.9,0.3000002,5.60748,1625.0,1062,0.25476819458007816,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00275000,2025-11-07 20:58:57+00:00,275.0,7.53,7.45,7.85,0.47000027,6.657228,1615.0,826,0.266608896484375,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00277500,2025-11-07 20:57:29+00:00,277.5,9.65,9.45,10.0,0.6700001,7.4610257,1016.0,182,0.2827220166015625,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00280000,2025-11-07 20:38:49+00:00,280.0,12.15,11.65,12.25,1.1499996,10.454542,196.0,158,0.29834686035156244,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00282500,2025-11-07 18:39:10+00:00,282.5,14.45,13.25,15.5,3.25,29.017857,26.0,78,0.4312801013183594,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00285000,2025-11-07 19:29:55+00:00,285.0,18.0,15.5,18.15,3.5200005,24.309397,8.0,56,0.4936574072265626,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00287500,2025-11-07 20:56:27+00:00,287.5,19.3,17.9,20.65,2.8499985,17.325218,13.0,12,0.5383346948242189,True,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
